team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ANA,20212022,2021-10-13,2,TRUE,4,1,2,1,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-15,0,TRUE,1,2,2,2,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-18,2,FALSE,3,2,4,3,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-19,0,FALSE,5,6,4,4,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-21,0,FALSE,1,5,4,5,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-23,1,FALSE,3,4,5,6,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-26,0,TRUE,3,4,5,7,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-28,1,TRUE,3,4,6,8,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-29,1,FALSE,4,5,7,9,2022-03-26,NA,2022-03-21
ANA,20212022,2021-10-31,2,TRUE,4,2,9,10,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-02,2,TRUE,4,0,11,11,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-05,2,TRUE,3,1,13,12,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-07,2,TRUE,4,1,15,13,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-09,2,FALSE,3,2,17,14,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-11,2,FALSE,7,4,19,15,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-14,2,TRUE,5,1,21,16,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-16,2,TRUE,3,2,23,17,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-18,0,TRUE,1,2,23,18,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-22,0,FALSE,2,3,23,19,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-24,0,FALSE,2,5,23,20,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-26,2,TRUE,4,0,25,21,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-28,0,TRUE,1,5,25,22,2022-03-26,NA,2022-03-21
ANA,20212022,2021-11-30,2,FALSE,5,4,27,23,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-01,2,TRUE,6,5,29,24,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-03,1,TRUE,3,4,30,25,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-06,1,FALSE,3,4,31,26,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-07,2,FALSE,2,0,33,27,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-09,2,FALSE,2,1,35,28,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-11,0,FALSE,0,1,35,29,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-12,2,FALSE,3,2,37,30,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-15,2,TRUE,4,1,39,31,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-17,1,TRUE,5,6,40,32,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-29,1,TRUE,1,2,41,33,2022-03-26,NA,2022-03-21
ANA,20212022,2021-12-31,0,FALSE,1,3,41,34,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-02,0,FALSE,2,4,41,35,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-04,2,TRUE,4,1,43,36,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-08,0,TRUE,1,4,43,37,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-09,2,TRUE,4,3,45,38,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-11,0,TRUE,1,4,45,39,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-14,0,FALSE,3,7,45,40,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-15,0,FALSE,0,3,45,41,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-19,0,TRUE,0,2,45,42,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-21,2,TRUE,5,1,47,43,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-24,2,FALSE,5,3,49,44,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-26,1,FALSE,3,4,50,45,2022-03-26,NA,2022-03-21
ANA,20212022,2022-01-27,2,FALSE,5,4,52,46,2022-03-26,NA,2022-03-21
